ajmj	阿基米德巧计
algz	阿拉沟
almj	阿拉曼
amlt	阿玛利特
aslk	阿斯洛克
agjy	爱岗敬业
agve	爱国主义
ailu	隘路
amsf	爱默森
askj	埃塞克斯级
eshe	艾森豪威尔
eshh	艾森豪威尔号
auhe	爱生豪威尔
abut	岸壁式码头
anbm	岸边
abjv	岸边节套舟
abmt	岸边码头
abqc	岸边器材
abvz	岸边舟
anbu	鞍部
aisl	按撤诉处理
adlt	安大略
adqi	安定器
afuw	案发单位
anfh	岸防
afbk	岸防兵
afbd	岸防兵部队
afwj	按方位角行进
aglv	安哥拉之战
anhj	安汉
ahwt	安徽武备学堂
ahld	暗火力点
ajhx	按计划
ajhd	按计划出动
ajrj	按级任教
ajvh	按级指挥
ajdd	岸舰导弹
andv	安能动之
anbc	岸炮
aqbv	安庆保卫战
aqds	安全导火索
aqdl	安全电流
aqjl	安全剂量
aqjp	安全界
aqjl	安全距离
aqmd	安全密度
aqus	安全射速
aqud	安全深度
aquy	安全试验
aqjt	安全系统
aqzt	安全自毁系统
arvb	按人之兵
aumb	岸上目标
auvs	岸上指挥所
auvb	岸上重要目标
auvu	岸上重要设施
antj	岸滩
atvw	岸滩障碍物
awuu	暗挖式工事
awud	暗挖式通道
awdj	安外大街
axfh	按西方
axdn	按下点火按钮
axfn	按下发射按钮
axbn	按下炮钮
axvy	安新战役
aydd	按预定弹道
ayqj	安远将军
anvj	安战
avtk	按照坦克
avbw	安装部位
avgl	安装工作量
avuw	安装使用电网
azfy	按左扶右
azhq	肮脏核武器
azqd	肮脏氢弹
aodw	奥得
wrum	凹入式打磨
aoto	奥托
atcw	奥托丛林王
wxxm	凹形斜面
bbls	巴巴罗萨
baih	靶场
bixy	靶场选型试验
piji	扒乘机动车
bafu	八服
bgqi	八卦旗
baji	靶机
bake	巴克
bkyy	巴克夜鹰
balw	靶雷
blfx	巴列夫防线
bljy	八路军
bljq	八路军进行曲
bnkv	八年抗战
bqbk	八旗兵
byih	八一厂
byjj	八一建军节
byjv	八一奖章
byjh	八一军徽
byjq	八一军旗
bymh	八一帽徽
byne	八一南昌起义
bytd	八一体工队
byxv	八一勋章
bvdv	八中队
bavl	拔桩
bvji	拔桩机
bixi	白崇禧
bdgf	白根
bgsh	柏伽索斯号
blhx	白令海峡
bnvv	百年战争
bpei	白袍衣
bdqi	百骑
brdu	百人督
brgd	白刃格斗
bufa	白色方案
buqe	百色起义
btdv	百团大战
bmxu	百万雄师
bxvf	百姓之费
bdyj	白烟
byjh	百眼巨人号
bdvj	败战
bdvj	百战
bvjf	百战奇法
bvjl	百战奇略
bdej	半渡而击
bdji	半渡击
bjfa	绊发
bjfu	班副
bjji	扳机
bjhl	扳机簧
bjli	扳机力
bjvz	扳机轴
bjdx	半距等高线
blya	办理印鉴备案
bjqm	半潜
bqvt	半潜状态
bric	半日潮
buhl	半伤害剂量
buhd	半伤害浓度
bjuc	班哨
buji	半衰期
bujj	半衰期时间
burc	半衰弱层
bsxl	伴随修理
bjxm	绊线
bxvz	绊线轴
bjys	班用
byiv	班用冲锋舟
byjf	半永久修复
byxg	半圆形落地拱
