啊,a
按,anf
安,an
案,anb
爱,ai
阿,aa
奥,ao
岸,ane
澳,aod
埃,ait
艾,aic
碍,aiuc
癌,aib
暗,ano
昂,ah
傲,aor
鞍,angn
哀,aiw
氨,anq
挨,aif
俺,anr
熬,aof
矮,aiu
凹,aol
盎,ahy
胺,anon
隘,aie
鳌,aofa
铵,anj
谙,any
庵,ang
蔼,aicv
敖,aofw
腌,aao
黯,anh
遨,aoz
唉,aik
鏖,aog
袄,aop
皑,aibj
哎,aikx
坳,aot
翱,aob
嗷,aok
肮,aho
拗,aofl
懊,aox
岙,aoy
鹌,and
霭,aiy
霭,aiyv
嗄,aakw
螯,aofi
骜,aofm
暧,aio
桉,anm
嫒,ain
獒,aofq
嗳,aiky
鏊,aofj
吖,aak
瑷,aiwy
埯,ant
锕,aaj
嗌,aikm
媪,aon
廒,aogw
聱,aofe
犴,anqg
锿,aij
锿,aijy
砹,aiux
欸,ais
卬,ahp
叆,aiey
毐,aiuw
毐,aiua
唵,ank
垵,antn
盦,anrm
璈,aow
奡,aoa
隩,aoe
安,anbn
按,anfn
爱,aip
阿,aae
岸,aneg
奥,aopd
澳,aodd
埃,aitu
艾,aicx
啊,aakk
癌,aibe
暗,anoo
昂,ahoe
傲,aorw
氨,anqn
俺,anrd
熬,aofh
矮,aiun
凹,aola
盎,ahym
隘,aiem
谙,anyo
庵,angd
腌,aaod
黯,anho
遨,aozw
鏖,aogj
袄,aopy
坳,aotl
翱,aobx
嗷,aokw
肮,ahoj
懊,aoxd
鹌,andn
暧,aioy
桉,anmn
嫒,ainy
吖,aaky
锕,aajk
媪,aonm
欸,aisr
卬,ahpe
唵,ankd
璈,aoww
奡,aoal
隩,aoed
爱,aipy
不,b
吧,bak
部,bu
报,bc
本,bf
备,bww
北,bwl
宝,bcby
保,bcr
表,bn
办,bj
并,bk
比,bi
步,buv
把,ba
标,bnm
被,bw
别,bp
变,bmw
百,bda
逼,bizt
必,bid
包,bcb
布,buu
八,bap
便,bmr
版,bjp
边,bm
病,bkb
白,bd
巴,bav
巴,basl
半,bjd
班,bjw
波,bod
编,bms
兵,bkq
补,bup
帮,bh
币,bip
笔,biv
博,bou
般,bjv
倍,bwr
播,bof
