--  --------二简词提示---------
-- 功能：全码提示简码
--  -------<首选>   提示----------
$cmd(即可,即可_jk)	jike#固
$cmd(按时,按时_au)	anui#固
$cmd(而是,而是_eu)	erui#固
$cmd(反应,反应_fy)	fjyk#固
$cmd(成为,成为_iw)	igww#固
$cmd(传统,传统_it)	irts#固
$cmd(计算,计算_js)	jisr#固
$cmd(今晚,今晚_jw)	jbwj#固
$cmd(精彩,精彩_jc)	jkcd#固
$cmd(简单,简单_jd)	jmdj#固
$cmd(简直,简直_jv)	jmvi#固
$cmd(联系,联系_lx)	lmxi#固
$cmd(貌似,貌似_ms)	mcsi#固
$cmd(每周,每周_mv)	mwvz#固
$cmd(期间,期间_qj)	qijm#固
$cmd(任务,任务_rw)	rfwu#固
$cmd(台湾,台湾_tw)	tdwj#固
$cmd(神似,神似_us)	ufsi#固
$cmd(试试,试试_uu)	uiui#固
$cmd(知道,知道_vd)	vidc#固
$cmd(只会,只会_vh)	vihv#固
$cmd(只能,只能_vn)	ving#固
$cmd(只是,只是_vu)	viui#固
$cmd(现金,现金_xj)	xmjb#固
$cmd(小时,小时_xu)	xnui#固
$cmd(一定,一定_yd)	yidk#固
$cmd(一片,一片_yp)	yipm#固
$cmd(一直,一直_yv)	yivi#固
$cmd(一下,一下_yx)	yixx#固
$cmd(基本,基本_jb)	jibf#固
--  -------<次选>   提示----------
$cmd(极为,极为_jw)	jiww
$cmd(即使,即使_ju)	jiui
$cmd(不再,不再_bz)	buzd
$cmd(背景,背景_bj)	bwjk
$cmd(达到,达到_dd)	dadc
$cmd(恶毒,恶毒_ed)	eedu
$cmd(儿科,儿科_ek)	erke
$cmd(分别,分别_fb)	ffbp
$cmd(反对,反对_fd)	fjdv
$cmd(反悔,反悔_fh)	fjhv
$cmd(附件,附件_fj)	fujm
$cmd(过程,过程_gi)	goig
$cmd(回复,回复_hf)	hvfu
$cmd(程度,程度_id)	igdu
$cmd(尝尝,尝尝_ii)	ihih
$cmd(今天,今天_jt)	jbtm
$cmd(极其,极其_jq)	jiqi
$cmd(举例,举例_jl)	juli
$cmd(假如,假如_jr)	jxru
$cmd(链接,链接_lj)	lmjp
$cmd(面前,面前_mq)	mmqm
$cmd(美丽,美丽_ml)	mwli
$cmd(那些,那些_nx)	naxp
$cmd(那样,那样_ny)	nayh
$cmd(努力,努力_nl)	nuli
$cmd(歧视,歧视_qu)	qiui
$cmd(千万,千万_qw)	qmwj
$cmd(速度,速度_sd)	sudu
$cmd(统一,统一_ty)	tsyi
$cmd(推导,推导_td)	tvdc
$cmd(什么,什么_sm)	ufme
$cmd(伤害,伤害_uh)	uhhd
$cmd(世纪,世纪_uj)	uiji
$cmd(束缚,束缚_uf)	uufu
$cmd(收到,收到_ud)	uzdc
$cmd(征服,征服_vf)	vgfu
$cmd(主意,主意_vy)	vuyi
$cmd(追求,追求_vq)	vvqq
$cmd(文字,文字_wz)	wfzi
$cmd(猥琐,猥琐_ws)	wwso
$cmd(为止,为止_wv)	wwvi
$cmd(微信,微信_wx)	wwxb
$cmd(西欧,西欧_xo)	xiou
$cmd(险恶,险恶_xe)	xmee
$cmd(修正,修正_xv)	xqvg
$cmd(选择,选择_xz)	xrze
$cmd(下次,下次_xc)	xxci
$cmd(下面,下面_xm)	xxmm
$cmd(云南,云南_yn)	yynj
$cmd(在线,在线_zx)	zdxm
$cmd(总共,总共_zg)	zsgs
$cmd(总算,总算_zs)	zssr
$cmd(按键,按键_aj)	anjm
$cmd(整句,整句_vj)	vgju
$cmd(按理,按理_al)	anli
$cmd(黯然,黯然_ar)	anrj
$cmd(暗自,暗自_az)	anzi
$cmd(五笔,五笔_wb)	wubi
$cmd(一边,一边_yb)	yibm
$cmd(座位,座位_zw)	zoww
//-------<唯一>    提示----------
$cmd(万恶,_we)	wjee
$cmd(安全,_aq)	anqr
$cmd(按照,_av)	anvc
$cmd(安排,_ap)	anpd
$cmd(按错,_ac)	anco
$cmd(安静,_aj)	anjk
$cmd(昂贵,_ag)	ahgv
$cmd(安定,_ad)	andk
$cmd(安慰,_aw)	anww
$cmd(爱惜,_ax)	aixi
$cmd(安保,_ab)	anbc
$cmd(安分,_af)	anff
$cmd(拗口,_ak)	aokz
$cmd(爱死,_as)	aisi
$cmd(凹凸,_at)	aotu
$cmd(安逸,_ay)	anyi
$cmd(暧昧,_am)	aimw
$cmd(挨饿,_ae)	aiee
$cmd(必须,_bx)	bixu
$cmd(不同,_bt)	buts
$cmd(保证,_bv)	bcvg
$cmd(并且,_bq)	bkqp
$cmd(必要,_by)	biyc
$cmd(比赛,_bs)	bisd
$cmd(本来,_bl)	bfld
$cmd(不然,_br)	burj
$cmd(不饿,_be)	buee
$cmd(才能,_cn)	cdng
$cmd(错误,_cw)	cowu
$cmd(采取,_cq)	cdqu
$cmd(参考,_ck)	cjkc
$cmd(从来,_cl)	csld
$cmd(聪明,_cm)	csmk
$cmd(从不,_cb)	csbu
$cmd(从头,_ct)	cstz
$cmd(才行,_cx)	cdxk
$cmd(存盘,_cp)	cypj
$cmd(代表,_db)	ddbn
$cmd(地方,_df)	difh
$cmd(东西,_dx)	dsxi
$cmd(到了,_dl)	dcle
$cmd(代替,_dt)	ddti
$cmd(而且,_eq)	erqp
$cmd(儿童,_et)	erts
$cmd(而已,_ey)	eryi
$cmd(儿子,_ez)	erzi
$cmd(恶搞,_eg)	eegc
$cmd(而不,_eb)	erbu
$cmd(耳机,_ej)	erji
