jpyj	戒严
gsyz	工友
gscj	工残
gsvi	工致
lhwy	落花无言
friu	芙蓉出水
uizi	式子
qgvx	勤工助学
gsvg	工整
gska	工卡
gsyy	工运
llnh	落落难合
gsyu	工于
jpiu	戒除
sdpo	苏东坡
gsqu	工区
gqwb	攻其无备
gsih	工场
sdff	斯蒂芬
gsqn	工巧
gsns	工农
gszw	工贼
gsui	工时
jpdu	戒毒
gsdh	工党
hhgh	黄花岗
qqub	七七事变
llgh	落落寡合
yajm	芽尖
gsyi	工蚁
gsri	工日
gsln	工料
ccub	草草收兵
gsli	工力
jpju	戒惧
gsic	工潮
gsfg	工蜂
jpwh	戒网
hhwj	黄花晚节
qquu	切切实实
gsih	工长
mmrj	茫茫然
jpdc	戒刀
jptn	戒条
gsbi	工笔
rkhx	茹苦含辛
gsdr	工段
uiww	式微
hldc	葫芦岛
gsjm	工间
gsbu	工部
gsjx	工架
gske	工科
jpdn	戒掉
yajp	芽接
gsmo	工模
qqsy	切切私语
gsbk	工兵
nibc	匿报
gspg	工棚
gsjm	工件
gsff	工分
niji	匿迹
gxzu	工薪族
jpvi	节支
hjdj	菡萏
jpxx	节下
jplp	节烈
jpjp	节节
dgui	东莞市
ybbi	荫蔽
jpys	节用
sasi	萨斯
jjxm	警戒线
gsxi	工细
ylbh	英联邦
ssww	斯斯文文
ybyi	荫翳
yyfw	医药费
jpuv	节水
jpyz	节油
vgqi	蒸汽
ybpg	荫棚
jpjm	节减
jplt	节略
jpdm	节电
sala	萨拉
saer	萨尔
ybll	荫凉
sate	萨特
jpvi	节制
jplq	节流
gzvd	攻子之盾
vggo	蒸锅
jpbf	节本
jplu	节录
jplv	节律
jpmw	节煤
jpqm	节前
jpfu	节妇
vovl	茁壮
jpui	节食
oyxq	欧阳修
mcpg	茅棚
jpyu	节育
qqhd	巧取豪夺
jkgj	茎干
qthe	七台河
samu	萨姆
mcce	茅厕
mcue	茅舍
jpyu	节余
mcdy	茅盾
ybbi	荫庇
jkgj	茎杆
pmdq	匹马单枪
ymha	雅马哈
rmkz	戎马倥偬
siji	斯基
kugs	苦功
fwbo	菲薄
qiui	欺世
qimg	欺蒙
lscs	茏葱
kule	苦了
kuyc	苦药
jivi	基址
ufuz	甚受
rowu	若无
mhyr	莽原
kucj	苦参
fwbh	匪帮
rofu	若夫
roxu	若需
jiui	基石
qikc	期考
jifw	基肥
qiyi	其一
chqk	藏青
ufyu	甚于
reld	惹来
kjvg	勘正
qimj	欺瞒
jidu	基督
jmju	荐举
qimj	期满
jici	藉此
qiui	其时
vfjq	斟酒
jidm	基点
qiri	期日
jifu	基辅
qihs	欺哄
kusi	苦思
kuww	苦味
ggdx	革故鼎新
kulw	苦累
jiyj	基岩
jiyz	藉由
qiwh	欺罔
wifq	蔚成风气
lbnc	莱布尼茨
qinw	期内
kuhj	苦寒
kuqk	苦情
qimk	其名
fwjy	匪军
jiuu	基数
jtlw	蕨类
chdu	藏独
reho	惹火
qike	欺客
mcmk	茂名
qiwd	其外
qita	其它
reji	惹急
jise	基色
qijp	其解
kule	苦乐
jivi	基质
qihz	其后
gims	功成名遂
roui	若失
reqi	惹气
kuiu	苦处
renu	惹怒
chye	藏掖
jivj	基站
kula	苦辣
xlbw	项背
jijm	基建
qiqr	期权
kudr	苦短
kjia	勘查
rede	惹得
jibj	基板
fwuz	匪首
jibu	基部
roxl	若想
qnwh	其奈我何
qiug	欺生
sdlb	斯大林
rsji	戎机
chjn	藏娇
tgzi	藤子
qiyt	期约
kujk	苦经
jmyb	荐引
ufww	甚为
rouo	若说
jizo	基座
cduu	菜蔬
mdna	蒙大拿
jidi	基底
kudu	苦度
sdmu	萨达姆
sjgs	散工
kulm	苦恋
qiwu	欺侮
rohe	若何
jixm	基线
kjwu	勘误
tglo	藤萝
qivs	期终
sjqu	散去
cdhx	菜花
sjxi	散戏
sjgu	散股
cdtm	菜田
cdyr	菜园
sjgl	散光
sjmp	散灭
sjig	散成
sjuv	散水
cddm	菜点
sjiu	散出
qylh	七月流火
cdqk	菜青
cddz	菜豆
sjzd	散在
cdgj	菜干
cdyz	菜油
sjjq	散酒
cdpu	菜圃
sjbj	散板
gqta	苟且偷安
sjjm	散见
cdnq	菜牛
cdgg	菜梗
cdse	菜色
sjui	散失
sjqm	散钱
cdjn	菜窖
sjtj	散摊
cdjb	菜金
jade	敬爱的
sjju	散居
cdzi	菜籽
sjqu	散曲
sjbk	散兵
cdxi	菜系
tgpd	藤牌
sjue	散射
sjmf	散闷
sjjm	散件
ldjp	劳动节
bmzi	鞭子
gjuu	甘薯
sjti	散体
sjji	散剂
sjzo	散座
erif	贰臣
xpmm	鞋面
xpjl	鞋匠
gevi	革职
sjxi	散席
gjku	甘苦
sjji	散记
ldui	落地式
sjjp	散结
leiu	勒出
cdui	菜市
sjfh	散放
jlyr	敬老院
batd	靶台
geiu	革除
wuhu	芜湖
cypw	蔡元培
xpdd	鞋带
vuyz	著有
gjuz	甘受
gjnj	甘南
xpbh	鞋帮
gjyu	甘于
hiyx	花朝月夕
ldve	劳动者
myiu	暮云春树
lesi	勒死
mzui	某事
lkxk	菱形
wwth	苇塘
gjyz	甘油
mzui	某时
mzjx	某甲
lejb	勒紧
ldli	劳动力
xpyb	鞋印
skdy	斯堪的纳维亚
rzln	鞣料
angh	鞍钢
gelv	革履
ldil	落地窗
vuuu	著书
stfu	斯坦福
xpmc	鞋帽
gjju	甘居
lkjn	菱角
xpff	鞋粉
xpye	鞋业
xplw	鞋类
ljso	劳教所
lddg	落地灯
bmda	鞭打
baji	靶机
xpgv	鞋柜
bmmc	鞭毛
bmhf	鞭痕
mzwu	某物
gjxq	甘休
wuza	芜杂
srbj	蒜瓣
gjmw	甘美
vuuu	著述
wwbo	苇箔
babn	靶标
qlbs	七零八碎
lwsi	蕾丝
gjww	甘为
uuby	莎士比亚
dzxg	东走西顾
xpdm	鞋店
wwxi	苇席
vuwf	著文
yund	芋艿
qnjl	巧匠
qicd	七彩
jkhx	荆花
ldqp	莱切
qnys	巧用
qixk	七星
dvjn	东正教
qiyi	七一
qnsi	巧思
ldwu	莱芜
mjhj	颟顸
qnxt	巧学
qixi	七喜
kljq	匡救
ybyu	艺不压身
qiqk	七情
qnui	巧事
klvu	匡助
qiui	七十
gebi	戈壁
hbld	划不来
qise	七色
ldsd	莱塞
geer	戈尔
qiqn	七窍
qnuz	巧手
ldxi	莱西
duhv	董事会
qqbh	七青八黄
ldte	莱特
qinm	七年
klfu	匡复
klhg	匡衡
qtvu	擎天柱
qixi	七夕
qbke	切不可
jktn	荆条
duih	董事长
zhyi	葬仪
jkhx	菁华
qijt	七绝
klmq	匡谬
jkvz	荆州
qnji	巧计
woui	卧式
yayi	牙医
yafh	雅芳
yayr	雅苑
yajk	雅静
ypui	雅皮士
wodi	卧地
yaif	牙碜
ujbu	苫布
xpsv	邪祟
iffu	臣服
yahv	牙慧
yavg	雅正
xpdu	邪毒
yali	雅丽
yajm	牙尖
yajp	雅洁
yadj	雅淡
woie	卧车
xpyb	邪淫
yase	牙色
yale	雅乐
yaff	牙粉
yavi	牙质
yadn	牙雕
yasi	雅思
gjuu	工具书
hmuj	蒿目时艰
yaxl	雅相
xpqi	邪气
yage	雅歌
speg	斯皮尔伯格
qbvc	七步之才
gjlj	工具栏
xirh	熙攘
jdtu	基督徒
yagf	牙根
xpuu	邪术
ifln	臣僚
yayi	雅意
gjxl	工具箱
xihe	熙和
yagr	牙关
yaji	牙祭
wozi	卧姿
yaxm	牙线
wofh	卧房
fjui	范式
xpuo	邪说
bozh	薄葬
yayj	雅言
mcwu	莫此为甚
loyk	落英
lohl	落荒
dsvi	东芝
dsyk	东营
lopb	落聘
dhiu	荡除
yxyr	医学院
loma	落马
dsmm	东面
lotc	落套
mbsh	莫泊桑
loyj	落雁
loyu	落雨
bocv	薄脆
dsig	东城
lojb	落进
dhqi	荡起
loxx	落霞
boul	薄霜
boxk	薄型
bowu	薄雾
lomj	落满
xuii	蓄水池
hywd	荒淫无度
heze	菏泽
dshu	东湖
lobo	落泊
hiig	黄澄澄
logo	落果
dswu	东吴
lovc	落照
pkzs	萍踪
fjgo	藩国
dsan	东岸
bocg	薄层
dsvz	东周
zclw	藻类
dsgs	东宫
boyj	薄烟
bobi	薄壁
ygdg	荧光灯
lodk	落定
loan	落案
loso	落锁
fjvf	藩镇
boli	薄礼
lugz	落水狗
lota	落拓
yqxh	燕雀相贺
vqji	蒸汽机
bobj	薄板
hlmg	黄粱梦
loiv	落槌
gsvu	汞柱
pulq	蒲柳
dhvz	荡舟
loxr	落选
dsvg	东征
yqit	燕雀处堂
dsxl	东向
dsww	东魏
lodi	落第
boli	薄利
dsce	东侧
dsdr	东端
dsdc	东道
bors	薄绒
loti	落体
lojx	落价
boua	薄纱
bovi	薄纸
dsjk	东经
dsxm	东线
dsil	东床
dsui	东施
pkxl	萍乡
ccjk	草茎
cccc	草草
getg	葛藤
muyk	墓茔
cchl	草黄
ccgu	草菇
hxlo	划落
jmzi	茧子
cchl	草荒
hxiu	划出
moxu	莫须
cchv	草灰
hxpo	划破
ccji	草鸡
mudi	墓地
modi	蓦地
moji	莫及
mgds	萌动
qtqi	鹊起
muql	幕墙
ccih	草场
muai	暮霭
ljdm	蓝靛
hxkd	划开
hxdc	划到
mogo	莫过
hxyi	划一
hxuh	划上
ccpi	草皮
gjvj	攻坚战
ljzi	蓝紫
cctj	草滩
xdii	蓄电池
hxqk	划清
ccjm	草尖
hxuv	划水
huby	荒时暴月
ccth	草堂
ljtm	蓝田
ccgo	草果
xiui	昔时
cczw	草贼
hxjp	划界
mogk	莫怪
mujk	暮景
cczi	草籽
cclw	草类
muyj	暮烟
cctj	草炭
cczi	草字
moer	莫尔
mubb	幕宾
ccdm	草垫
mofu	莫负
ljnn	蓝鸟
pgji	苹果机
ccbn	草标
moxl	莫向
ccvs	草种
moiz	莫愁
moni	莫逆
muqm	幕前
hxqr	划拳
ccjm	草间
qtic	鹊巢
moru	莫如
hudd	划时代
hxfu	划付
modc	莫道
hxuh	划伤
ccti	草体
muhx	募化
mohv	摹绘
jmsi	茧丝
ljdn	蓝调
hxww	划为
ccbm	草编
mowh	莫忘
gema	葛麻
mufu	幕府
woju	莴苣
jbcd	堇菜
qbku	勤苦
hkrz	黄口孺子
qzed	翘足而待
houi	或是
hoyt	或曰
poce	叵测
qbwh	勤王
pzlj	萍踪浪迹
jbjm	觐见
hoys	或用
jbse	堇色
kvqt	匮缺
horj	或然
iydj	茶叶蛋
dpxd	东跑西颠
eepm	萼片
cqdu	藏器待时
hoif	或称
holr	惑乱
qbwf	勤问
lyvq	落叶知秋
kvjp	匮竭
suui	苏式
olba	欧罗巴
ybyb	茵茵
jylo	菌落
qbdu	勤读
lmtd	莲台
suqu	苏区
qpke	茄克
suqb	苏秦
jyfw	菌肥
ujwv	世界卫生组织
gsys	功用
gsgo	功过
suwu	苏武
sunj	苏南
llui	劳力士
gsfa	功法
jysu	菌素
suuj	苏珊
suve	苏浙
gszv	功罪
suui	苏轼
lmxb	莲心
suvs	苏中
mnqk	苗情
gsye	功业
sutp	苏铁
ujmv	世界贸易组织
subd	苏白
sujy	苏军
jyhe	菌核
jyvu	菌株
ltuy	蓝田生玉
gsli	功利
mpif	蔑称
jyvs	菌种
gsgd	功盖
alte	艾略特
subw	苏北
mnyi	苗裔
gsji	功绩
suee	苏俄
jysi	菌丝
lmfh	莲房
gsdi	功底
mnil	苗床
ujyu	世界语
gsfh	功放
lmzo	莲座
ykui	英式
hlhx	黄花
hlqi	黄芪
ykys	英勇
hldp	黄碟
hlui	黄石
ujiu	芟除
hlli	黄历
hlye	黄页
gsfg	贡奉
ykwu	英武
gsmo	巩膜
zadi	匝地
hlrh	黄壤
ykic	英超
hlbj	黄斑
hlpu	黄浦
hlth	黄汤
hlla	黄蜡
hlyz	黄油
hlhw	黄黑
ykli	英里
hlyi	黄易
ykvs	英中
hljb	黄巾
hlye	黄叶
hgyj	花岗岩
hlgo	黄果
gsfu	贡赋
hljk	黄精
hlgh	黄冈
ykjx	英甲
yvyj	牙周炎
hldg	黄灯
hlmi	黄米
ykjy	英军
zauu	匝数
hlhe	黄鹤
gtue	共同社
hlpc	黄袍
ykmk	英名
hlts	黄酮
hlyu	黄鱼
hlbd	黄白
ykhl	英皇
ykqi	英气
yktk	英挺
ykjp	英杰
gsug	贡生
hlyh	黄杨
gswu	贡物
ofmy	欧风美雨
hlvs	黄种
hlyh	黄羊
gsuv	贡税
hldi	黄帝
hldc	黄道
hldj	黄疸
ykzi	英姿
hlic	黄巢
hluu	黄鼠
ykyi	英译
gsdr	贡缎
hllv	黄绿
hlma	黄麻
ykmu	英亩
hlvz	黄州
ykhx	英华
yiyr	艺苑
juvu	巨著
uiyi	世医
jujl	巨匠
juzi	巨子
uimm	世面
jupm	巨骗
uiww	世卫
juui	巨石
wwig	蔚成
qfqv	巧发奇中
ying	艺能
uigu	世故
ywfu	燕尾服
uixi	世袭
uibo	世博
uitd	世态
wwqi	蔚起
julw	巨雷
juxk	巨型
juxm	巨献
uiuh	世上
uiui	世事
juii	巨齿
clis	草履虫
uijx	世嘉
julj	巨澜
juxk	巨星
jull	巨量
uixs	世兄
yiyr	艺员
yipb	艺品
juxl	巨响
juho	巨祸
yilb	艺林
uifg	世风
uijx	世家
uixl	世相
jufu	巨幅
qqkm	其情可悯
jujk	巨鲸
uimc	世贸
jufu	巨富
juuz	巨手
jubo	巨擘
yimk	艺名
jxdy	匠心独运
uiqk	世情
juvi	巨制
lgfj	劳改犯
juyi	巨翼
juuu	巨树
hfit	黄发垂髫
uixk	世行
uiwu	世务
uixi	世系
yiji	艺妓
kjtl	苦尽甜来
jutz	巨头
uijn	世交
bbrl	鞭辟入里
juxl	巨像
juts	巨痛
uizy	世尊
juuh	巨商
ccyd	苍翠欲滴
juzi	巨资
juzo	巨作
uidd	世代
uijm	世间
uivr	世传
uirf	世人
uisu	世俗
jutj	巨贪
lzhc	蒌蒿
juxi	巨细
wwww	蔚为
lcgs	劳工
yhis	萤火虫
gyhx	工业化
