,﻿
丂,ka3o
丄,sha4ng
丅,xia4
丆,ha3n
丏,mia3n
丒,cho3u
丗,shi4
丟,diu1
丠,qiu1
両,lia3ng
丣,yo3u
並,bi4ng
丩,jiu1
丮,ji3
丯,jie4
丱,gua4n
丳,cha3n
丵,zhuo2
丷,ba1
丼,ji3ng
乀,fu2
乁,yi2
乂,yi4
乄,wu3
乆,jiu3
乊,yi1
乑,yi2n
乕,hu3
乗,che2ng
乚,yi3n
乛,ya
乢,ga4i
乣,jiu3
乤,xia4
乥,hu4
乧,do3u
乨,shi3
乪,na2ng
乫,jia1
乬,ju4
乭,shi2
乮,ma3o
乯,hu1
乲,zi1
乴,xue2
乵,ya3n
乶,fu3
乷,sha1
乸,na3
乹,ga1n
乺,suo3
乻,yu2
乼,cui
乽,zhe3
乿,zhi4
亀,gui1
亁,ga1n
亂,lua4n
亃,li3n
亄,yi4
亅,jue2
亇,ma
亊,shi4
亐,yu2
亖,si4
亗,sui4
亙,ge4n
亜,ya4
亝,qi2
亞,ya4
亣,da4
亪,ye
亯,xia3ng
亰,ji1ng
亱,ye4
亴,yo4u
亶,da3n
亷,lia2n
亸,duo3
亹,we3i
亼,ji2
亽,ji2
亾,wa2ng
仈,ba1
仌,bi1ng
仏,fo2
仐,sa3n
仒,bi1ng
仚,xia1n
仛,tuo1
仜,ho2ng
仠,ga3n
仢,bo2
仦,cha4o
仧,cha2ng
仩,cha2ng
仭,re4n
仮,fa3n
仯,cha4o
仱,qia2n
仴,wo4
仸,ya3o
仹,fe1ng
仺,ca1ng
仼,wa2ng
仾,di1
伀,zho1ng
伂,pe4i
伃,yu2
伄,dia4o
伅,du4n
伆,wu4
伇,yi4
伈,xi3n
伋,ji2
伌,a4i
伒,ji4n
伓,pi1
伔,da3n
伕,fu1
伖,ta3ng
伜,cui4
伝,yu2n
伡,che1
伣,qia4n
伨,xu4n
伩,xi4n
伬,ze
伭,xia2n
伮,nu3
伱,ni3
伳,xie4
伵,xu4
伷,zho4u
伹,qu1
伻,be1ng
伾,pi1
伿,yi4
佀,si4
佁,yi3
佂,zhe1ng
佄,ha1n
佅,ma4i
佇,zhu4
佈,bu4
佉,qu1
佊,bi3
佋,zha1o
佌,ci3
佒,ya3ng
佔,zha4n
佖,bi4
佡,xia1n
佢,qu2
佦,shi
佨,ba1o
佪,hui2
