anf	按
an	安
anb	案
ai	爱
aa	阿
ao	奥
ane	岸
aod	澳
ait	埃
aic	艾
aiuc	碍
aib	癌
ano	暗
ah	昂
aor	傲
angn	鞍
aiw	哀
anq	氨
aif	挨
anr	俺
aof	熬
aiu	矮
aol	凹
ahy	盎
anon	胺
aie	隘
aofa	鳌
anj	铵
any	谙
ang	庵
aicv	蔼
aofw	敖
aao	腌
anh	黯
aoz	遨
aik	唉
aog	鏖
aop	袄
aibj	皑
aikx	哎
aot	坳
aob	翱
aok	嗷
aho	肮
aofl	拗
aox	懊
aoy	岙
and	鹌
aiy	霭
aiyv	霭
aakw	嗄
aofi	螯
aofm	骜
aio	暧
anm	桉
ain	嫒
aofq	獒
aiky	嗳
aofj	鏊
aak	吖
aiwy	瑷
ant	埯
aaj	锕
aikm	嗌
aon	媪
aogw	廒
aofe	聱
anqg	犴
aij	锿
aijy	锿
aiux	砹
ais	欸
ahp	卬
aiey	叆
aiuw	毐
aiua	毐
ank	唵
antn	垵
ana	??
anrm	盦
aow	璈
aoa	奡
aoe	隩
anbn	安
anfn	按
aip	爱
aae	阿
aneg	岸
aopd	奥
aodd	澳
aitu	埃
aicx	艾
aakk	啊
aibe	癌
anoo	暗
ahoe	昂
aorw	傲
anqn	氨
anrd	俺
aofh	熬
aiun	矮
aola	凹
ahym	盎
aiem	隘
anyo	谙
angd	庵
aaod	腌
anho	黯
aozw	遨
aogj	鏖
aopy	袄
aotl	坳
aobx	翱
aokw	嗷
ahoj	肮
aoxd	懊
andn	鹌
aioy	暧
anmn	桉
ainy	嫒
aaky	吖
aajk	锕
aonm	媪
aisr	欸
ahpe	卬
ankd	唵
aoww	璈
aoal	奡
aoed	隩
aipy	爱
aaek	阿
a	啊
aq	安全
av	按照
ap	安排
ac	按错
au	按时
aj	安静
ag	昂贵
ad	安定
aw	安慰
ax	爱惜
ab	安保
af	安分
ak	拗口
al	按理
ar	黯然
as	爱死
at	凹凸
ay	安逸
az	暗自
am	暧昧
ae	挨饿
aaba	阿爸
aadb	嗷嗷待哺
aage	阿哥
aaha	啊哈
aajj	安安静静
aala	阿拉
aamw	阿妹
aama	阿妈
aamj	阿曼
aamf	阿门
aapo	阿婆
aapp	矮矮胖胖
aaqq	安安全全
aavi	AA制
aaww	安安稳稳
aayi	阿姨
aaya	啊呀
aayo	啊哟
aaxx	安安心心
aaza	腌臜
abai	爱不爱
abbd	按兵不动
abbu	哀兵必胜
abdg	安邦定国
abdi	安步当车
abdy	阿鼻地狱
abgo	熬不过
abhz	阿布哈兹
abjp	矮半截
abjb	按部就班
ablo	阿波罗
ablk	爱别离苦
ablm	鞍不离马
abuu	爱不释手
abvu	熬不住
abvb	阿布扎比
acrk	爱才若渴
acrm	爱财如命
acuj	暗藏杀机
acxj	暗藏玄机
ader	安道尔
adic	暗渡陈仓
adl	按道理
adli	奥地利
adly	澳大利亚
adwn	安度晚年
aeby	阿尔巴尼亚
aefa	阿尔法
aejy	阿尔及利亚
aeje	阿尔及尔
aelj	爱尔兰
afet	埃菲尔铁塔
afhj	阿富汗
afti	阿凡提
afuj	安分守己
agjy	爱岗敬业
agla	安哥拉
agtk	阿根廷
aguy	熬更守夜
agve	爱国者
agvy	爱国主义
ahby	哀鸿遍野
ahgv	昂贵
ahqi	昂起
ahrj	盎然
ahri	安好如初
ahsi	盎司
ahug	安徽省
ahuz	昂首
ahv	爱好者
ahve	昂着
ahyh	昂扬
ahzh	肮脏
aiai	矮矮
aibm	癌变
aicd	爱才
aida	挨打
aidc	哀悼
aidd	爱戴
aiee	挨饿
aifa	挨罚
aifu	爱抚
aifw	爱妃
aigo	爱国
aigc	哀告
aige	挨个
aigh	爱岗
aihc	爱好
aihe	爱河
aihf	爱恨
aiho	爱火
aihu	爱护
aiiz	哀愁
aiic	爱巢
aiig	爱称
aiii	爱吃
aijb	挨近
aiji	埃及
aijl	爱将
aikj	爱看
aiku	爱哭
aijq	艾灸
ailm	爱恋
ailv	爱侣
aimu	爱慕
aima	挨骂
aimk	哀鸣
aimw	暧昧
aimb	爱民
aiph	矮胖
aiqk	爱情
aiql	矮墙
aiqp	哀切
aiqq	哀求
airf	爱人
aisi	爱死
aiti	挨踢
aitj	哀叹
aitk	爱听
aits	哀痛
aiuf	爱神
aiuh	爱上
aiui	碍事
aiuz	碍手
aive	挨着
aivg	癌症
aiwj	爱玩
aixb	爱心
aixi	爱惜
aixn	矮小
aixy	暗潮汹涌
aiya	哎呀
aiyi	爱意
aiyj	碍眼
aiyo	哎哟
aiyr	哀怨
aiys	爱用
aiyt	哀乐
aiyu	碍于
aiye	艾叶
aizi	矮子
aizg	爱憎
aizu	阿昌族
aizz	挨揍
ajah	挨家挨户
ajcb	挨肩擦背
ajle	安静了
ajlh	安家落户
ajly	安居乐业
ajmd	阿基米德
ajnf	暗箭难防
ajsr	氨基酸
ajur	暗箭伤人
akbk	爱看不看
albo	阿拉伯
albb	阿里巴巴
albl	爱理不理
albg	阿拉伯联合酋长国
albz	阿拉伯数字
alba	阿鲁巴
aldk	阿拉丁
alfp	按劳分配
alhv	安理会
alpk	奥林匹克
alqq	阿联酋
alqi	按劳取酬
alsi	安乐死
aluo	按理说
aluj	阿里山
alwo	安乐窝
amag	阿猫阿狗
amds	哀莫大于心死
amld	鞍马劳顿
amnv	爱莫能助
amrz	爱民如子
amsd	阿姆斯特丹
amvx	爱美之心
amwq	奥妙无穷
amyc	安眠药
amzi	爱面子
anan	暗暗
anbc	安保
anbj	案板
anbm	岸边
anbv	按捺不住
anby	懊恼不已
anch	暗藏
anci	按此
anco	按错
andc	暗道
andi	暗地
andj	暗淡
andk	安定
andu	安度
andy	安顿
anfa	案发
anff	安分
anfg	暗讽
anfh	安放
anfj	案犯
anfu	安抚
ange	暗格
angz	暗沟
anhc	暗号
anhd	暗害
anhe	暗合
anhj	暗含
anhl	暗黄
anhs	暗红
anhv	安徽
anhw	暗黑
ania	安插
anic	暗潮
anih	暗娼
anil	暗疮
aniu	暗处
aniy	鹌鹑
anji	按季
anjk	安静
anjm	案件
anjn	暗礁
anjp	按揭
anjr	案卷
anju	安居
anjx	安家
ankh	安康
ankv	暗亏
anli	案例
anla	安拉
anle	安乐
anlk	按铃
anlm	暗恋
anlq	暗流
anlv	暗绿
anmb	安民
anma	鞍马
anmf	暗门
anmm	安眠
anmo	按摩
annq	按钮
anna	按捺
anng	安能
annk	安宁
annm	按年
anpd	安排
anpw	安培
anqb	安寝
anqi	按期
anqk	案情
anqr	安全
anri	按日
anrj	安然
anrz	按揉
ansr	暗算
anso	暗锁
antd	安泰
antj	暗探
anto	安妥
antz	案头
anui	暗示
anua	暗杀
anuc	暗哨
anuj	鞍山
anue	安设
anuf	安神
anug	安生
anuh	岸上
anuo	按说
anuu	谙熟
anuv	安睡
anvl	安装
anvc	按照
anve	按着
anvi	安置
anvo	安卓
anvs	暗中
anvu	按住
anww	安慰
anwf	安稳
anxb	安心
anxi	安息
anxl	安详
anxm	暗线
anxn	暗笑
anxx	按下
anya	按压
anye	暗夜
anyi	安逸
anyk	暗影
anyt	按月
anyu	暗语
anzi	案子
anzh	安葬
anzo	安坐
aoao	嗷嗷
aoan	傲岸
aocc	凹槽
aodc	熬到
aodi	奥迪
aogo	熬过
aogu	傲骨
aohv	懊悔
aohf	凹痕
aoig	熬成
aokz	拗口
aomj	傲慢
aomf	澳门
aomi	奥秘
aomn	奥妙
aonc	懊恼
aoqi	傲气
aorf	傲人
aosh	懊丧
aoth	熬汤
aotu	凹凸
aoui	傲视
aouu	奥数
aovz	澳洲
aovj	鏖战
aovi	熬制
aovu	熬煮
aoxl	翱翔
aoxm	凹陷
aoyc	熬药
aoye	熬夜
aoyy	奥运
aoyi	奥义
aoyr	澳元
aoyz	遨游
aoxx	凹下
apld	安贫乐道
aqdy	安全第一
aqhd	爱琴海
aqgj	安全感
aqju	安全局
aqmh	鞍前马后
aqrm	爱钱如命
aqpm	爱情片
artl	傲然挺立
artu	安如泰山
arus	黯然失色
aruu	黯然神伤
arwy	安然无恙
arxh	黯然销魂
aryl	傲然屹立
asbj	阿塞拜疆
asey	埃塞俄比亚
asjm	爱斯基摩
aska	奥斯卡
aslu	奥斯陆
aspl	阿司匹林
asqb	暗送秋波
atbp	凹凸不平
atkq	暗通款曲
atjk	凹透镜
atsj	按图索骥
atug	安徒生
atyj	哀痛欲绝
auaj	碍手碍脚
aubu	爱说不说
aukb	昂首阔步
aulm	安身立命
auma	阿诗玛
auny	爱沙尼亚
auqx	傲视群雄
autx	昂首挺胸
autq	唉声叹气
auvd	安身之地
auvl	安史之乱
auvi	安身之处
avbj	安装版
avew	安枕而卧
avff	安知非福
avms	暗中摸索
avrs	安之若素
avwy	安枕无忧
avyu	爱之欲其生
awhv	奥委会
awjw	爱屋及乌
awtr	暗无天日
axbx	爱信不信
axcz	暗箱操作
axfp	按需分配
axhp	按下葫芦起来瓢
axjl	爱新觉罗
axuy	暗香疏影
axym	爱惜羽毛
ayhv	奥运会
ayst	爱因斯坦
ayvv	安营扎寨
ayxv	安于现状
azbk	艾滋病
azfm	爱憎分明
azpc	腌臜泼才
b	不
bak	吧
bu	部
bc	报
bf	本
bww	备
bwl	北
bcby	宝
bcr	保
bn	表
bj	办
bk	并
bi	比
buv	步
ba	把
bnm	标
bw	被
bp	别
bmw	变
bda	百
bizt	逼
bid	必
bcb	包
buu	布
bap	八
bmr	便
bjp	版
bm	边
bkb	病
bd	白
bav	巴
basl	巴
bjd	半
bjw	班
bod	波
bms	编
bkq	兵
bup	补
bh	帮
bip	币
biv	笔
bou	博
bjv	般
bwr	倍
bof	播
bmz	遍
bjm	板
bibu	毕
bdk	败
bihb	秘
bbb	宾
bwlo	背
bdf	摆
bkd	冰
biz	避
bco	暴
bim	闭
bfv	笨
bfd	奔
bwm	杯
bjb	颁
bjr	伴
boul	勃
bo	拨
baf	拔
bcos	胞
bwkr	贝
bcc	薄
boc	薄
bhf	邦
bdrb	伯
bor	伯
bch	爆
bb	滨
bow	玻
bcu	饱
biu	壁
biut	壁
buf	捕
bcf	抱
bdu	拜
bwfi	辈
bjf	搬
bofc	搏
bwf	悲
bcrt	堡
bur	堡
bbw	斌
bbwv	斌
bhmf	榜
bwu	碑
bat	坝
bml	辩
bab	爸
bkuk	屏
bdm	柏
